cells,ens_id,gene
T_naive,ENSG00000118507,AKAP7
T_naive,ENSG00000112282,MED23
T_naive,ENSG00000146409,SLC18B1
T_naive,ENSG00000135541,AHI1
T_naive,ENSG00000272189,AL024508.2
T_naive,ENSG00000055211,GINM1
T_naive,ENSG00000120254,MTHFD1L
T_naive,ENSG00000146426,TIAM2
T_naive,ENSG00000146425,DYNLT1
T_naive,ENSG00000092820,EZR
T_naive,ENSG00000120437,ACAT2
T_naive,ENSG00000112110,MRPL18
T_naive,ENSG00000198818,SFT2D1
T_naive,ENSG00000026297,RNASET2
T_naive,ENSG00000240859,AC093627.4
T_naive,ENSG00000164849,GPR146
T_naive,ENSG00000229043,AC091729.3
T_naive,ENSG00000002822,MAD1L1
T_naive,ENSG00000106003,LFNG
T_naive,ENSG00000272968,RBAK-RBAKDN
T_naive,ENSG00000157954,WIPI2
T_naive,ENSG00000122674,CCZ1
T_naive,ENSG00000136238,RAC1
T_naive,ENSG00000136240,KDELR2
T_naive,ENSG00000146574,CCZ1B
T_naive,ENSG00000106460,TMEM106B
T_naive,ENSG00000122644,ARL4A
T_naive,ENSG00000196683,TOMM7
T_naive,ENSG00000226816,AC005082.1
T_naive,ENSG00000005020,SKAP2
T_naive,ENSG00000233429,HOTAIRM1
T_naive,ENSG00000153814,JAZF1
T_naive,ENSG00000180233,ZNRF2
T_naive,ENSG00000105778,AVL9
T_naive,ENSG00000155849,ELMO1
T_naive,ENSG00000227191,TRGC2
T_naive,ENSG00000281103,TRG-AS1
T_naive,ENSG00000106603,COA1
T_naive,ENSG00000122678,POLM
T_naive,ENSG00000146674,IGFBP3
T_naive,ENSG00000129103,SUMF2
T_naive,ENSG00000106153,CHCHD2
T_naive,ENSG00000185290,NUPR2
T_naive,ENSG00000169919,GUSB
T_naive,ENSG00000126522,ASL
T_naive,ENSG00000237310,AC008267.5
T_naive,ENSG00000272831,AC027644.3
T_naive,ENSG00000277149,TYW1B
T_naive,ENSG00000106635,BCL7B
T_naive,ENSG00000158517,NCF1
T_naive,ENSG00000274523,RCC1L
T_naive,ENSG00000127948,POR
T_naive,ENSG00000189077,TMEM120A
T_naive,ENSG00000146707,POMZP3
T_naive,ENSG00000135205,CCDC146
T_naive,ENSG00000075142,SRI
T_naive,ENSG00000205356,TECPR1
T_naive,ENSG00000106244,PDAP1
T_naive,ENSG00000166997,CNPY4
T_naive,ENSG00000188186,LAMTOR4
T_naive,ENSG00000213420,GPC2
T_naive,ENSG00000213413,PVRIG
T_naive,ENSG00000121716,PILRB
T_naive,ENSG00000106330,MOSPD3
T_naive,ENSG00000176125,UFSP1
T_naive,ENSG00000169871,TRIM56
T_naive,ENSG00000106404,CLDN15
T_naive,ENSG00000214253,FIS1
T_naive,ENSG00000267368,UPK3BL1
T_naive,ENSG00000272918,AC005070.3
T_naive,ENSG00000164597,COG5
T_naive,ENSG00000241764,AC002467.1
T_naive,ENSG00000091136,LAMB1
T_naive,ENSG00000177683,THAP5
T_naive,ENSG00000008311,AASS
T_naive,ENSG00000271553,AC018638.7
T_naive,ENSG00000128524,ATP6V1F
T_naive,ENSG00000240204,SMKR1
T_naive,ENSG00000106459,NRF1
T_naive,ENSG00000158525,CPA5
T_naive,ENSG00000158623,COPG2
T_naive,ENSG00000243317,STMP1
T_naive,ENSG00000105939,ZC3HAV1
T_naive,ENSG00000064393,HIPK2
T_naive,ENSG00000283063,TRBV6-2
T_naive,ENSG00000211753,TRBV28
T_naive,ENSG00000211751,TRBC1
T_naive,ENSG00000106123,EPHB6
T_naive,ENSG00000198420,TCAF1
T_naive,ENSG00000188707,ZBED6CL
T_naive,ENSG00000133574,GIMAP4
T_naive,ENSG00000106560,GIMAP2
T_naive,ENSG00000196329,GIMAP5
T_naive,ENSG00000184863,RBM33
T_naive,ENSG00000182648,LINC01006
T_naive,ENSG00000104714,ERICH1
T_naive,ENSG00000104728,ARHGEF10
T_naive,ENSG00000036448,MYOM2
T_naive,ENSG00000136573,BLK
T_naive,ENSG00000079459,FDFT1
